日付,場所,天気,気温（℃）,芝,観客（人）,チーム名,対戦相手,Home/Away,得点,失点,ゴール期待値,シュート,枠内シュート,PKによるシュート,パス,クロス,直接ＦＫ,間接ＦＫ,ＣＫ,スローイン,ドリブル,タックル,クリア,インターセプト,オフサイド,警告,退場,３０ｍライン進入,ペナルティエリア進入,総走行距離（m）,スプリント,攻撃回数,チャンス構築率,ボール保持率,シュート_成功率,パス_成功率,クロス_成功率,スローイン_成功率,ドリブル_成功率,タックル_成功率,（被）ゴール期待値,（被）シュート,（被）枠内シュート,（被）PKによるシュート,（被）パス,（被）クロス,（被）直接ＦＫ,（被）間接ＦＫ,（被）ＣＫ,（被）スローイン,（被）ドリブル,（被）タックル,（被）クリア,（被）インターセプト,（被）オフサイド,（被）警告,（被）退場,（被）３０ｍライン進入,（被）ペナルティエリア進入,（被）総走行距離（m）,（被）スプリント,（被）攻撃回数,（被）チャンス構築率,（被）ボール保持率,（被）シュート_成功率,（被）パス_成功率,（被）クロス_成功率,（被）スローイン_成功率,（被）ドリブル_成功率,（被）タックル_成功率,勝ち点
2022-02-19,日産スタジアム,曇,9.0,全面良芝,13737,横浜Ｆ・マリノス,セレッソ大阪,Home,2,2,3.204,26,9,1,748,22,14,4,6,23,14,27,17,4,1,0,0,71,31,121754,200,126,20.6,64.8,7.7,87.3,27.3,100.0,50.0,70.4,0.892,11,2,0,301,8,10,0,6,18,9,30,25,3,4,3,0,24,5,120379,196,119,9.2,35.2,18.2,66.1,12.5,77.8,22.2,83.3,1
2022-02-19,日産スタジアム,曇,9.0,全面良芝,13737,セレッソ大阪,横浜Ｆ・マリノス,Away,2,2,0.892,11,2,0,301,8,10,0,6,18,9,30,25,3,4,3,0,24,5,120379,196,119,9.2,35.2,18.2,66.1,12.5,77.8,22.2,83.3,3.204,26,9,1,748,22,14,4,6,23,14,27,17,4,1,0,0,71,31,121754,200,126,20.6,64.8,7.7,87.3,27.3,100.0,50.0,70.4,1
2022-02-23,日産スタジアム,晴,7.6,全面良芝,20433,横浜Ｆ・マリノス,川崎フロンターレ,Home,4,2,1.307,14,6,0,618,21,17,3,1,22,4,15,17,1,0,2,0,44,11,122306,224,111,12.6,54.1,28.6,81.4,33.3,90.9,0.0,73.3,1.123,12,5,0,520,16,11,0,6,20,9,16,15,5,3,3,0,41,17,116699,225,115,10.4,45.9,16.7,80.2,18.8,100.0,33.3,50.0,3
2022-02-23,日産スタジアム,晴,7.6,全面良芝,20433,川崎フロンターレ,横浜Ｆ・マリノス,Away,2,4,1.123,12,5,0,520,16,11,0,6,20,9,16,15,5,3,3,0,41,17,116699,225,115,10.4,45.9,16.7,80.2,18.8,100.0,33.3,50.0,1.307,14,6,0,618,21,17,3,1,22,4,15,17,1,0,2,0,44,11,122306,224,111,12.6,54.1,28.6,81.4,33.3,90.9,0.0,73.3,0
2022-02-27,三協フロンテア柏スタジアム,晴,17.3,全面良芝,8918,柏レイソル,横浜Ｆ・マリノス,Home,3,1,1.838,16,8,0,370,13,11,3,5,20,10,24,12,4,4,0,0,33,18,117747,209,125,12.8,45.2,18.8,70.8,38.5,65.0,60.0,50.0,0.942,6,2,0,560,10,13,4,2,18,9,16,20,0,3,2,2,25,6,113647,208,121,5.0,54.8,16.7,77.7,20.0,94.4,77.8,81.3,3
2022-02-27,三協フロンテア柏スタジアム,晴,17.3,全面良芝,8918,横浜Ｆ・マリノス,柏レイソル,Away,1,3,0.942,6,2,0,560,10,13,4,2,18,9,16,20,0,3,2,2,25,6,113647,208,121,5.0,54.8,16.7,77.7,20.0,94.4,77.8,81.3,1.838,16,8,0,370,13,11,3,5,20,10,24,12,4,4,0,0,33,18,117747,209,125,12.8,45.2,18.8,70.8,38.5,65.0,60.0,50.0,0
2022-03-02,日産スタジアム,曇,12.3,全面良芝,13801,横浜Ｆ・マリノス,ヴィッセル神戸,Home,2,0,2.412,22,8,0,465,20,13,2,7,24,13,18,31,3,0,1,0,40,22,125969,235,130,16.9,46.9,9.1,75.5,35.0,79.2,38.5,77.8,2.595,25,5,0,526,19,12,0,10,34,12,21,10,0,2,0,0,41,18,121233,225,141,17.7,53.1,0.0,76.4,26.3,73.5,58.3,57.1,3
2022-03-02,日産スタジアム,曇,12.3,全面良芝,13801,ヴィッセル神戸,横浜Ｆ・マリノス,Away,0,2,2.595,25,5,0,526,19,12,0,10,34,12,21,10,0,2,0,0,41,18,121233,225,141,17.7,53.1,0.0,76.4,26.3,73.5,58.3,57.1,2.412,22,8,0,465,20,13,2,7,24,13,18,31,3,0,1,0,40,22,125969,235,130,16.9,46.9,9.1,75.5,35.0,79.2,38.5,77.8,0
2022-03-06,日産スタジアム,晴,11.9,全面良芝,14752,横浜Ｆ・マリノス,清水エスパルス,Home,2,0,1.298,17,8,0,654,14,11,2,9,23,11,31,15,3,2,0,0,51,14,126209,223,128,13.3,56.6,11.8,83.2,14.3,82.6,27.3,64.5,0.61,6,1,0,404,9,8,2,3,25,11,20,13,1,2,0,0,25,6,122318,221,122,4.9,43.4,0.0,72.5,22.2,92.0,36.4,85.0,3
2022-03-06,日産スタジアム,晴,11.9,全面良芝,14752,清水エスパルス,横浜Ｆ・マリノス,Away,0,2,0.61,6,1,0,404,9,8,2,3,25,11,20,13,1,2,0,0,25,6,122318,221,122,4.9,43.4,0.0,72.5,22.2,92.0,36.4,85.0,1.298,17,8,0,654,14,11,2,9,23,11,31,15,3,2,0,0,51,14,126209,223,128,13.3,56.6,11.8,83.2,14.3,82.6,27.3,64.5,0
