日付,場所,天気,気温（℃）,芝,観客（人）,チーム名,対戦相手,Home/Away,得点,失点,ゴール期待値,シュート,枠内シュート,PKによるシュート,パス,クロス,直接ＦＫ,間接ＦＫ,ＣＫ,スローイン,ドリブル,タックル,クリア,インターセプト,オフサイド,警告,退場,３０ｍライン進入,ペナルティエリア進入,総走行距離（m）,スプリント,攻撃回数,チャンス構築率,ボール保持率,シュート_成功率,パス_成功率,クロス_成功率,スローイン_成功率,ドリブル_成功率,タックル_成功率,（被）ゴール期待値,（被）シュート,（被）枠内シュート,（被）PKによるシュート,（被）パス,（被）クロス,（被）直接ＦＫ,（被）間接ＦＫ,（被）ＣＫ,（被）スローイン,（被）ドリブル,（被）タックル,（被）クリア,（被）インターセプト,（被）オフサイド,（被）警告,（被）退場,（被）３０ｍライン進入,（被）ペナルティエリア進入,（被）総走行距離（m）,（被）スプリント,（被）攻撃回数,（被）チャンス構築率,（被）ボール保持率,（被）シュート_成功率,（被）パス_成功率,（被）クロス_成功率,（被）スローイン_成功率,（被）ドリブル_成功率,（被）タックル_成功率,勝ち点
2023-02-17,等々力陸上競技場,晴,7.2,全面良芝,22563,川崎フロンターレ,横浜Ｆ・マリノス,Home,1,2,1.675,17,5,0,715,16,16,4,5,25,21,16,14,3,2,1,1,52,13,119868,141,136,12.5,63.6,5.9,82.5,25.0,100.0,47.6,81.3,1.09,9,4,0,359,4,16,2,4,14,6,28,33,2,4,1,0,25,6,125529,123,128,7.0,36.4,22.2,69.6,25.0,64.3,0.0,82.1,0
2023-02-17,等々力陸上競技場,晴,7.2,全面良芝,22563,横浜Ｆ・マリノス,川崎フロンターレ,Away,2,1,1.09,9,4,0,359,4,16,2,4,14,6,28,33,2,4,1,0,25,6,125529,123,128,7.0,36.4,22.2,69.6,25.0,64.3,0.0,82.1,1.675,17,5,0,715,16,16,4,5,25,21,16,14,3,2,1,1,52,13,119868,141,136,12.5,63.6,5.9,82.5,25.0,100.0,47.6,81.3,3
2023-02-25,日産スタジアム,晴,9.8,全面良芝,34035,横浜Ｆ・マリノス,浦和レッズ,Home,2,0,2.027,13,5,0,625,24,13,1,13,29,9,22,15,3,3,0,0,40,21,127747,140,132,9.8,53.0,15.4,82.1,12.5,75.9,44.4,40.9,0.566,9,2,0,452,13,5,3,4,17,7,23,26,3,1,2,0,36,8,123552,164,111,8.1,47.0,0.0,77.2,15.4,94.1,71.4,73.9,3
2023-02-25,日産スタジアム,晴,9.8,全面良芝,34035,浦和レッズ,横浜Ｆ・マリノス,Away,0,2,0.566,9,2,0,452,13,5,3,4,17,7,23,26,3,1,2,0,36,8,123552,164,111,8.1,47.0,0.0,77.2,15.4,94.1,71.4,73.9,2.027,13,5,0,625,24,13,1,13,29,9,22,15,3,3,0,0,40,21,127747,140,132,9.8,53.0,15.4,82.1,12.5,75.9,44.4,40.9,0
2023-03-03,ニッパツ三ツ沢球技場,晴,10.5,全面良芝,10854,横浜Ｆ・マリノス,サンフレッチェ広島,Home,1,1,1.02,9,5,0,530,19,12,3,9,23,15,20,15,0,3,2,1,39,9,124362,149,134,6.7,53.5,11.1,77.5,15.8,91.3,40.0,55.0,1.747,14,4,0,403,24,16,3,3,29,7,22,24,2,3,4,0,36,13,121815,157,139,10.1,46.5,7.1,69.2,25.0,86.2,42.9,81.8,1
2023-03-03,ニッパツ三ツ沢球技場,晴,10.5,全面良芝,10854,サンフレッチェ広島,横浜Ｆ・マリノス,Away,1,1,1.747,14,4,0,403,24,16,3,3,29,7,22,24,2,3,4,0,36,13,121815,157,139,10.1,46.5,7.1,69.2,25.0,86.2,42.9,81.8,1.02,9,5,0,530,19,12,3,9,23,15,20,15,0,3,2,1,39,9,124362,149,134,6.7,53.5,11.1,77.5,15.8,91.3,40.0,55.0,1
2023-03-12,札幌ドーム,屋内,23.1,全面良芝,17509,北海道コンサドーレ札幌,横浜Ｆ・マリノス,Home,2,0,1.303,17,6,0,341,13,12,2,7,23,11,10,29,2,3,1,0,34,10,112552,149,122,13.9,38.4,11.8,65.7,15.4,87.0,63.6,50.0,0.615,6,2,0,597,18,16,3,3,28,6,9,16,0,2,0,0,32,11,110942,117,124,4.8,61.6,0.0,79.1,22.2,71.4,50.0,55.6,3
2023-03-12,札幌ドーム,屋内,23.1,全面良芝,17509,横浜Ｆ・マリノス,北海道コンサドーレ札幌,Away,0,2,0.615,6,2,0,597,18,16,3,3,28,6,9,16,0,2,0,0,32,11,110942,117,124,4.8,61.6,0.0,79.1,22.2,71.4,50.0,55.6,1.303,17,6,0,341,13,12,2,7,23,11,10,29,2,3,1,0,34,10,112552,149,122,13.9,38.4,11.8,65.7,15.4,87.0,63.6,50.0,0
2023-03-18,日産スタジアム,雨,8.6,全面良芝,28478,横浜Ｆ・マリノス,鹿島アントラーズ,Home,2,1,0.811,11,4,0,501,13,13,4,7,30,6,10,25,1,5,2,0,39,9,120202,94,121,9.1,52.5,9.1,78.0,23.1,80.0,66.7,50.0,1.102,11,4,0,385,24,12,5,4,20,13,24,24,3,4,4,1,40,14,117505,137,112,9.8,47.5,9.1,71.2,20.8,90.0,84.6,75.0,3
2023-03-18,日産スタジアム,雨,8.6,全面良芝,28478,鹿島アントラーズ,横浜Ｆ・マリノス,Away,1,2,1.102,11,4,0,385,24,12,5,4,20,13,24,24,3,4,4,1,40,14,117505,137,112,9.8,47.5,9.1,71.2,20.8,90.0,84.6,75.0,0.811,11,4,0,501,13,13,4,7,30,6,10,25,1,5,2,0,39,9,120202,94,121,9.1,52.5,9.1,78.0,23.1,80.0,66.7,50.0,0
