日付,場所,天気,気温（℃）,芝,観客（人）,チーム名,対戦相手,Home/Away,得点,失点,ゴール期待値,シュート,枠内シュート,PKによるシュート,パス,クロス,直接ＦＫ,間接ＦＫ,ＣＫ,スローイン,ドリブル,タックル,クリア,インターセプト,オフサイド,警告,退場,３０ｍライン進入,ペナルティエリア進入,総走行距離（m）,スプリント,攻撃回数,チャンス構築率,ボール保持率,シュート_成功率,パス_成功率,クロス_成功率,スローイン_成功率,ドリブル_成功率,タックル_成功率,（被）ゴール期待値,（被）シュート,（被）枠内シュート,（被）PKによるシュート,（被）パス,（被）クロス,（被）直接ＦＫ,（被）間接ＦＫ,（被）ＣＫ,（被）スローイン,（被）ドリブル,（被）タックル,（被）クリア,（被）インターセプト,（被）オフサイド,（被）警告,（被）退場,（被）３０ｍライン進入,（被）ペナルティエリア進入,（被）総走行距離（m）,（被）スプリント,（被）攻撃回数,（被）チャンス構築率,（被）ボール保持率,（被）シュート_成功率,（被）パス_成功率,（被）クロス_成功率,（被）スローイン_成功率,（被）ドリブル_成功率,（被）タックル_成功率,勝ち点
2020-02-23,日産スタジアム,晴,14.7,全面良芝,34521,横浜Ｆ・マリノス,ガンバ大阪,Home,1,2,1.846,20,4,0,764,29,9,3,5,41,20,24,18,1,4,0,0,75,19,117612,190,155,12.9,65.6,5.0,83.8,17.2,92.7,55.0,79.2,1.383,10,6,0,283,10,7,4,6,19,11,29,53,1,3,0,0,24,10,121075,218,137,7.3,34.4,20.0,65.7,60.0,89.5,54.5,79.3,0
2020-02-23,日産スタジアム,晴,14.7,全面良芝,34521,ガンバ大阪,横浜Ｆ・マリノス,Away,2,1,1.383,10,6,0,283,10,7,4,6,19,11,29,53,1,3,0,0,24,10,121075,218,137,7.3,34.4,20.0,65.7,60.0,89.5,54.5,79.3,1.846,20,4,0,764,29,9,3,5,41,20,24,18,1,4,0,0,75,19,117612,190,155,12.9,65.6,5.0,83.8,17.2,92.7,55.0,79.2,3
2020-07-04,埼玉スタジアム２００２,曇,24.4,全面良芝,0,浦和レッズ,横浜Ｆ・マリノス,Home,0,0,0.642,14,2,0,227,5,15,1,3,22,7,30,27,3,5,2,0,17,4,119443,205,112,12.5,31.8,0.0,63.9,20.0,81.8,57.1,46.7,1.86,17,3,0,774,28,15,5,13,25,20,19,11,0,1,0,0,81,32,122517,198,131,13.0,68.2,0.0,85.4,21.4,100.0,65.0,57.9,1
2020-07-04,埼玉スタジアム２００２,曇,24.4,全面良芝,0,横浜Ｆ・マリノス,浦和レッズ,Away,0,0,1.86,17,3,0,774,28,15,5,13,25,20,19,11,0,1,0,0,81,32,122517,198,131,13.0,68.2,0.0,85.4,21.4,100.0,65.0,57.9,0.642,14,2,0,227,5,15,1,3,22,7,30,27,3,5,2,0,17,4,119443,205,112,12.5,31.8,0.0,63.9,20.0,81.8,57.1,46.7,1
2020-07-08,ニッパツ三ツ沢球技場,曇,24.6,全面良芝,0,横浜Ｆ・マリノス,湘南ベルマーレ,Home,3,2,0.966,10,5,0,663,23,16,1,8,32,13,16,16,1,8,2,0,67,16,122663,215,136,7.4,66.1,30.0,83.7,13.0,93.8,38.5,68.8,0.714,11,5,0,213,11,17,8,3,26,13,31,32,6,1,5,0,20,9,121867,261,141,7.8,33.9,18.2,62.0,36.4,100.0,61.5,74.2,3
2020-07-08,ニッパツ三ツ沢球技場,曇,24.6,全面良芝,0,湘南ベルマーレ,横浜Ｆ・マリノス,Away,2,3,0.714,11,5,0,213,11,17,8,3,26,13,31,32,6,1,5,0,20,9,121867,261,141,7.8,33.9,18.2,62.0,36.4,100.0,61.5,74.2,0.966,10,5,0,663,23,16,1,8,32,13,16,16,1,8,2,0,67,16,122663,215,136,7.4,66.1,30.0,83.7,13.0,93.8,38.5,68.8,0
2020-07-12,日産スタジアム,曇,23.9,全面良芝,4769,横浜Ｆ・マリノス,ＦＣ東京,Home,1,3,1.669,9,1,0,750,28,10,6,5,30,13,23,9,0,3,3,0,81,21,114399,150,141,6.4,65.1,11.1,83.1,10.7,93.3,61.5,73.9,1.336,8,5,1,220,4,18,4,1,15,6,36,36,7,6,2,0,16,9,113070,213,140,5.7,34.9,37.5,60.0,50.0,66.7,50.0,72.2,0
2020-07-12,日産スタジアム,曇,23.9,全面良芝,4769,ＦＣ東京,横浜Ｆ・マリノス,Away,3,1,1.336,8,5,1,220,4,18,4,1,15,6,36,36,7,6,2,0,16,9,113070,213,140,5.7,34.9,37.5,60.0,50.0,66.7,50.0,72.2,1.669,9,1,0,750,28,10,6,5,30,13,23,9,0,3,3,0,81,21,114399,150,141,6.4,65.1,11.1,83.1,10.7,93.3,61.5,73.9,3
2020-07-18,県立カシマサッカースタジアム,雨,21.7,全面良芝,3090,鹿島アントラーズ,横浜Ｆ・マリノス,Home,4,2,1.721,16,8,0,293,15,16,4,1,19,8,30,14,5,4,0,0,33,13,115676,206,131,12.2,35.2,25.0,65.9,33.3,89.5,62.5,66.7,2.589,15,4,0,710,16,14,4,5,20,18,13,22,2,3,0,0,57,20,119076,167,145,10.3,64.8,13.3,86.2,25.0,75.0,33.3,76.9,3
2020-07-18,県立カシマサッカースタジアム,雨,21.7,全面良芝,3090,横浜Ｆ・マリノス,鹿島アントラーズ,Away,2,4,2.589,15,4,0,710,16,14,4,5,20,18,13,22,2,3,0,0,57,20,119076,167,145,10.3,64.8,13.3,86.2,25.0,75.0,33.3,76.9,1.721,16,8,0,293,15,16,4,1,19,8,30,14,5,4,0,0,33,13,115676,206,131,12.2,35.2,25.0,65.9,33.3,89.5,62.5,66.7,0
