日付,場所,天気,気温（℃）,芝,観客（人）,チーム名,対戦相手,Home/Away,得点,失点,ゴール期待値,シュート,枠内シュート,PKによるシュート,パス,クロス,直接ＦＫ,間接ＦＫ,ＣＫ,スローイン,ドリブル,タックル,クリア,インターセプト,オフサイド,警告,退場,３０ｍライン進入,ペナルティエリア進入,総走行距離（m）,スプリント,攻撃回数,チャンス構築率,ボール保持率,シュート_成功率,パス_成功率,クロス_成功率,スローイン_成功率,ドリブル_成功率,タックル_成功率,（被）ゴール期待値,（被）シュート,（被）枠内シュート,（被）PKによるシュート,（被）パス,（被）クロス,（被）直接ＦＫ,（被）間接ＦＫ,（被）ＣＫ,（被）スローイン,（被）ドリブル,（被）タックル,（被）クリア,（被）インターセプト,（被）オフサイド,（被）警告,（被）退場,（被）３０ｍライン進入,（被）ペナルティエリア進入,（被）総走行距離（m）,（被）スプリント,（被）攻撃回数,（被）チャンス構築率,（被）ボール保持率,（被）シュート_成功率,（被）パス_成功率,（被）クロス_成功率,（被）スローイン_成功率,（被）ドリブル_成功率,（被）タックル_成功率,勝ち点
2024-02-25,国立競技場,雨,5.6,全面良芝,53026,東京ヴェルディ,横浜Ｆ・マリノス,Home,1,2,1.376,17,7,0,292,12,12,5,6,26,12,31,25,3,4,1,0,29,10,125645,162,128,13.3,37.2,5.9,71.2,25.0,69.2,58.3,74.2,1.13,8,3,1,641,17,13,4,5,32,12,18,27,2,5,2,0,51,11,120793,112,137,5.8,62.8,25.0,83.0,17.6,84.4,33.3,66.7,0
2024-02-25,国立競技場,雨,5.6,全面良芝,53026,横浜Ｆ・マリノス,東京ヴェルディ,Away,2,1,1.13,8,3,1,641,17,13,4,5,32,12,18,27,2,5,2,0,51,11,120793,112,137,5.8,62.8,25.0,83.0,17.6,84.4,33.3,66.7,1.376,17,7,0,292,12,12,5,6,26,12,31,25,3,4,1,0,29,10,125645,162,128,13.3,37.2,5.9,71.2,25.0,69.2,58.3,74.2,3
2024-03-01,日産スタジアム,雨,11.7,全面良芝,19487,横浜Ｆ・マリノス,アビスパ福岡,Home,0,1,2.643,22,5,0,773,22,16,2,8,22,27,8,13,2,0,1,0,85,21,119796,98,122,18.0,64.3,0.0,86.8,31.8,100.0,51.9,75.0,0.87,9,4,0,305,15,7,0,1,12,6,16,49,6,2,0,0,34,10,123368,150,105,8.6,35.7,11.1,70.2,33.3,75.0,66.7,56.3,0
2024-03-01,日産スタジアム,雨,11.7,全面良芝,19487,アビスパ福岡,横浜Ｆ・マリノス,Away,1,0,0.87,9,4,0,305,15,7,0,1,12,6,16,49,6,2,0,0,34,10,123368,150,105,8.6,35.7,11.1,70.2,33.3,75.0,66.7,56.3,2.643,22,5,0,773,22,16,2,8,22,27,8,13,2,0,1,0,85,21,119796,98,122,18.0,64.3,0.0,86.8,31.8,100.0,51.9,75.0,3
2024-03-17,サンガスタジアム by ＫＹＯＣＥＲＡ,雨,12.1,全面良芝,12937,京都サンガF.C.,横浜Ｆ・マリノス,Home,2,3,2.221,18,5,0,285,25,7,4,8,17,12,19,18,1,0,1,1,32,14,106794,177,101,17.8,44.9,11.1,69.1,20.0,94.1,33.3,52.6,2.096,17,6,0,450,19,12,0,8,23,12,17,31,0,4,1,1,45,13,110284,128,110,15.5,55.1,17.6,82.2,36.8,91.3,33.3,64.7,0
2024-03-17,サンガスタジアム by ＫＹＯＣＥＲＡ,雨,12.1,全面良芝,12937,横浜Ｆ・マリノス,京都サンガF.C.,Away,3,2,2.096,17,6,0,450,19,12,0,8,23,12,17,31,0,4,1,1,45,13,110284,128,110,15.5,55.1,17.6,82.2,36.8,91.3,33.3,64.7,2.221,18,5,0,285,25,7,4,8,17,12,19,18,1,0,1,1,32,14,106794,177,101,17.8,44.9,11.1,69.1,20.0,94.1,33.3,52.6,3
2024-03-30,豊田スタジアム,晴のち曇,19.5,全面良芝,31844,名古屋グランパス,横浜Ｆ・マリノス,Home,2,1,1.235,13,5,0,320,14,18,3,2,22,4,23,20,1,1,1,0,28,14,119939,138,109,11.9,40.8,15.4,73.4,28.6,90.9,50.0,60.9,2.238,16,5,0,535,24,19,1,9,20,23,12,27,0,3,3,0,46,17,116568,121,111,14.4,59.2,6.3,83.2,29.2,90.0,39.1,66.7,3
2024-03-30,豊田スタジアム,晴のち曇,19.5,全面良芝,31844,横浜Ｆ・マリノス,名古屋グランパス,Away,1,2,2.238,16,5,0,535,24,19,1,9,20,23,12,27,0,3,3,0,46,17,116568,121,111,14.4,59.2,6.3,83.2,29.2,90.0,39.1,66.7,1.235,13,5,0,320,14,18,3,2,22,4,23,20,1,1,1,0,28,14,119939,138,109,11.9,40.8,15.4,73.4,28.6,90.9,50.0,60.9,0
2024-04-03,日産スタジアム,雨のち曇,13.9,全面良芝,26031,横浜Ｆ・マリノス,川崎フロンターレ,Home,0,0,1.841,19,4,0,455,23,15,2,14,26,14,20,20,0,1,0,0,45,13,116367,134,135,14.1,53.9,0.0,76.5,17.4,92.3,57.1,50.0,1.044,14,1,0,307,17,14,1,5,25,13,29,33,3,2,4,1,32,13,110522,157,126,11.1,46.1,0.0,71.3,23.5,80.0,61.5,75.9,1
2024-04-03,日産スタジアム,雨のち曇,13.9,全面良芝,26031,川崎フロンターレ,横浜Ｆ・マリノス,Away,0,0,1.044,14,1,0,307,17,14,1,5,25,13,29,33,3,2,4,1,32,13,110522,157,126,11.1,46.1,0.0,71.3,23.5,80.0,61.5,75.9,1.841,19,4,0,455,23,15,2,14,26,14,20,20,0,1,0,0,45,13,116367,134,135,14.1,53.9,0.0,76.5,17.4,92.3,57.1,50.0,1
2024-04-07,ノエビアスタジアム神戸,晴,25.2,全面良芝,23456,ヴィッセル神戸,横浜Ｆ・マリノス,Home,1,2,2.227,18,3,0,317,28,11,5,4,24,10,14,20,5,6,1,1,36,15,112990,128,113,15.9,44.1,5.6,67.2,35.7,79.2,30.0,42.9,1.949,18,6,0,448,15,8,6,10,25,18,11,47,0,5,3,0,34,17,113563,116,118,15.3,55.9,11.1,76.3,13.3,96.0,44.4,100.0,0
2024-04-07,ノエビアスタジアム神戸,晴,25.2,全面良芝,23456,横浜Ｆ・マリノス,ヴィッセル神戸,Away,2,1,1.949,18,6,0,448,15,8,6,10,25,18,11,47,0,5,3,0,34,17,113563,116,118,15.3,55.9,11.1,76.3,13.3,96.0,44.4,100.0,2.227,18,3,0,317,28,11,5,4,24,10,14,20,5,6,1,1,36,15,112990,128,113,15.9,44.1,5.6,67.2,35.7,79.2,30.0,42.9,3
2024-04-10,日産スタジアム,晴,12.2,全面良芝,15528,横浜Ｆ・マリノス,ガンバ大阪,Home,2,0,1.142,12,5,0,470,11,10,4,3,15,17,23,33,0,4,2,0,42,15,121330,137,116,10.3,51.1,16.7,79.8,18.2,86.7,47.1,73.9,1.409,22,9,0,419,25,9,4,11,16,24,28,19,0,4,1,0,47,16,116308,138,127,17.3,48.9,0.0,76.8,16.0,100.0,75.0,67.9,3
2024-04-10,日産スタジアム,晴,12.2,全面良芝,15528,ガンバ大阪,横浜Ｆ・マリノス,Away,0,2,1.409,22,9,0,419,25,9,4,11,16,24,28,19,0,4,1,0,47,16,116308,138,127,17.3,48.9,0.0,76.8,16.0,100.0,75.0,67.9,1.142,12,5,0,470,11,10,4,3,15,17,23,33,0,4,2,0,42,15,121330,137,116,10.3,51.1,16.7,79.8,18.2,86.7,47.1,73.9,0
2024-04-13,日産スタジアム,晴,20.5,全面良芝,23437,横浜Ｆ・マリノス,湘南ベルマーレ,Home,2,2,1.704,16,9,0,460,16,20,3,6,20,9,21,15,0,5,2,0,44,16,113985,130,133,12.0,54.0,12.5,79.3,6.3,90.0,44.4,61.9,1.13,17,5,0,322,12,10,5,3,27,9,22,25,2,3,1,1,20,13,113694,165,115,14.8,46.0,11.8,72.4,16.7,81.5,33.3,72.7,1
2024-04-13,日産スタジアム,晴,20.5,全面良芝,23437,湘南ベルマーレ,横浜Ｆ・マリノス,Away,2,2,1.13,17,5,0,322,12,10,5,3,27,9,22,25,2,3,1,1,20,13,113694,165,115,14.8,46.0,11.8,72.4,16.7,81.5,33.3,72.7,1.704,16,9,0,460,16,20,3,6,20,9,21,15,0,5,2,0,44,16,113985,130,133,12.0,54.0,12.5,79.3,6.3,90.0,44.4,61.9,1
2024-04-27,ヨドコウ桜スタジアム,晴のち曇,22.4,全面良芝,18147,セレッソ大阪,横浜Ｆ・マリノス,Home,2,2,2.418,18,7,1,394,16,13,1,8,14,16,13,36,2,0,0,0,48,11,121097,145,105,17.1,46.6,11.1,79.9,6.3,100.0,62.5,76.9,1.095,8,3,0,566,25,10,0,5,23,8,13,33,0,1,4,0,46,15,122471,126,96,8.3,53.4,25.0,84.5,16.0,91.3,75.0,61.5,1
