日付,場所,天気,気温（℃）,芝,観客（人）,チーム名,対戦相手,Home/Away,得点,失点,ゴール期待値,シュート,枠内シュート,PKによるシュート,パス,クロス,直接ＦＫ,間接ＦＫ,ＣＫ,スローイン,ドリブル,タックル,クリア,インターセプト,オフサイド,警告,退場,３０ｍライン進入,ペナルティエリア進入,総走行距離（m）,スプリント,攻撃回数,チャンス構築率,ボール保持率,シュート_成功率,パス_成功率,クロス_成功率,スローイン_成功率,ドリブル_成功率,タックル_成功率,（被）ゴール期待値,（被）シュート,（被）枠内シュート,（被）PKによるシュート,（被）パス,（被）クロス,（被）直接ＦＫ,（被）間接ＦＫ,（被）ＣＫ,（被）スローイン,（被）ドリブル,（被）タックル,（被）クリア,（被）インターセプト,（被）オフサイド,（被）警告,（被）退場,（被）３０ｍライン進入,（被）ペナルティエリア進入,（被）総走行距離（m）,（被）スプリント,（被）攻撃回数,（被）チャンス構築率,（被）ボール保持率,（被）シュート_成功率,（被）パス_成功率,（被）クロス_成功率,（被）スローイン_成功率,（被）ドリブル_成功率,（被）タックル_成功率,勝ち点
2021-04-03,日産スタジアム,晴,20.7,全面良芝,9152,湘南ベルマーレ,横浜Ｆ・マリノス,Away,1,1,1.255,11,2,0,310,12,17,1,6,19,6,22,26,4,1,0,0,25,11,123486,217,118,9.3,38.3,9.1,70.0,16.7,84.2,33.3,63.6,1.773,14,4,0,704,24,13,1,9,29,9,17,19,1,1,1,0,66,23,123300,222,128,10.9,61.7,7.1,85.2,16.7,93.1,55.6,82.4,1
2021-04-06,日産スタジアム,曇,11.7,全面良芝,7980,横浜Ｆ・マリノス,セレッソ大阪,Home,1,0,2.485,20,3,0,674,40,4,3,5,28,16,18,20,2,1,2,0,68,26,125629,261,139,14.4,66.3,5.0,82.0,22.5,78.6,50.0,66.7,1.194,13,2,0,269,14,21,1,4,20,10,19,29,0,3,1,0,21,9,124570,221,137,9.5,33.7,0.0,62.1,35.7,75.0,80.0,84.2,3
2021-04-06,日産スタジアム,曇,11.7,全面良芝,7980,セレッソ大阪,横浜Ｆ・マリノス,Away,0,1,1.194,13,2,0,269,14,21,1,4,20,10,19,29,0,3,1,0,21,9,124570,221,137,9.5,33.7,0.0,62.1,35.7,75.0,80.0,84.2,2.485,20,3,0,674,40,4,3,5,28,16,18,20,2,1,2,0,68,26,125629,261,139,14.4,66.3,5.0,82.0,22.5,78.6,50.0,66.7,0
2021-04-11,ユアテックスタジアム仙台,晴,13.6,全面良芝,4355,ベガルタ仙台,横浜Ｆ・マリノス,Home,0,0,0.175,4,1,0,235,12,10,2,0,31,10,20,33,5,2,1,0,23,6,121135,189,129,3.1,31.1,0.0,55.3,16.7,77.4,10.0,60.0,0.818,8,1,0,696,28,13,2,7,37,14,14,18,1,2,2,0,58,11,120963,208,147,5.4,68.9,0.0,79.3,14.3,83.8,57.1,57.1,1
2021-04-11,ユアテックスタジアム仙台,晴,13.6,全面良芝,4355,横浜Ｆ・マリノス,ベガルタ仙台,Away,0,0,0.818,8,1,0,696,28,13,2,7,37,14,14,18,1,2,2,0,58,11,120963,208,147,5.4,68.9,0.0,79.3,14.3,83.8,57.1,57.1,0.175,4,1,0,235,12,10,2,0,31,10,20,33,5,2,1,0,23,6,121135,189,129,3.1,31.1,0.0,55.3,16.7,77.4,10.0,60.0,1
2021-04-16,札幌ドーム,屋内,21.1,全面良芝,9222,北海道コンサドーレ札幌,横浜Ｆ・マリノス,Home,1,3,1.564,17,8,0,401,13,12,0,9,21,16,27,30,3,6,3,0,32,15,122660,210,132,12.9,46.4,5.9,73.8,15.4,95.2,62.5,55.6,2.153,13,8,0,571,14,17,6,4,25,10,17,22,0,0,1,0,39,16,127296,242,143,9.1,53.6,23.1,80.2,21.4,92.0,70.0,70.6,0
2021-04-16,札幌ドーム,屋内,21.1,全面良芝,9222,横浜Ｆ・マリノス,北海道コンサドーレ札幌,Away,3,1,2.153,13,8,0,571,14,17,6,4,25,10,17,22,0,0,1,0,39,16,127296,242,143,9.1,53.6,23.1,80.2,21.4,92.0,70.0,70.6,1.564,17,8,0,401,13,12,0,9,21,16,27,30,3,6,3,0,32,15,122660,210,132,12.9,46.4,5.9,73.8,15.4,95.2,62.5,55.6,3
2021-04-24,日産スタジアム,晴,20.6,全面良芝,12297,横浜Ｆ・マリノス,横浜ＦＣ,Home,5,0,4.49,24,7,1,725,18,8,4,7,24,7,17,19,4,5,0,0,65,23,122639,232,124,19.4,60.1,20.8,85.5,38.9,87.5,71.4,52.9,1.294,7,4,0,372,13,9,5,8,16,15,16,26,2,4,1,0,21,7,119143,193,118,5.9,39.9,0.0,74.5,0.0,93.8,66.7,31.3,3
2021-04-24,日産スタジアム,晴,20.6,全面良芝,12297,横浜ＦＣ,横浜Ｆ・マリノス,Away,0,5,1.294,7,4,0,372,13,9,5,8,16,15,16,26,2,4,1,0,21,7,119143,193,118,5.9,39.9,0.0,74.5,0.0,93.8,66.7,31.3,4.49,24,7,1,725,18,8,4,7,24,7,17,19,4,5,0,0,65,23,122639,232,124,19.4,60.1,20.8,85.5,38.9,87.5,71.4,52.9,0
2021-05-01,味の素スタジアム,晴一時曇一時雨,23.2,全面良芝,0,ＦＣ東京,横浜Ｆ・マリノス,Home,0,3,0.922,14,4,0,401,10,16,2,8,28,15,19,14,1,1,2,0,32,11,117713,215,136,10.3,43.7,0.0,73.8,30.0,89.3,40.0,68.4,2.684,17,8,0,623,13,5,1,3,22,8,23,25,4,2,0,0,56,16,121370,212,123,13.8,56.3,17.6,84.6,38.5,81.8,50.0,69.6,0
2021-05-01,味の素スタジアム,晴一時曇一時雨,23.2,全面良芝,0,横浜Ｆ・マリノス,ＦＣ東京,Away,3,0,2.684,17,8,0,623,13,5,1,3,22,8,23,25,4,2,0,0,56,16,121370,212,123,13.8,56.3,17.6,84.6,38.5,81.8,50.0,69.6,0.922,14,4,0,401,10,16,2,8,28,15,19,14,1,1,2,0,32,11,117713,215,136,10.3,43.7,0.0,73.8,30.0,89.3,40.0,68.4,3
2021-05-09,日産スタジアム,晴,26.8,全面良芝,4977,横浜Ｆ・マリノス,ヴィッセル神戸,Home,2,0,1.602,15,7,0,650,20,12,2,4,27,7,29,11,3,0,0,0,54,13,118366,198,120,12.5,54.5,6.7,84.0,15.0,81.5,42.9,69.0,0.699,7,1,0,480,3,12,0,0,33,6,25,20,3,2,0,0,20,4,116296,185,126,5.6,45.5,0.0,82.5,33.3,72.7,50.0,56.0,3
2021-05-09,日産スタジアム,晴,26.8,全面良芝,4977,ヴィッセル神戸,横浜Ｆ・マリノス,Away,0,2,0.699,7,1,0,480,3,12,0,0,33,6,25,20,3,2,0,0,20,4,116296,185,126,5.6,45.5,0.0,82.5,33.3,72.7,50.0,56.0,1.602,15,7,0,650,20,12,2,4,27,7,29,11,3,0,0,0,54,13,118366,198,120,12.5,54.5,6.7,84.0,15.0,81.5,42.9,69.0,0
2021-05-15,県立カシマサッカースタジアム,晴,22.3,全面良芝,11630,鹿島アントラーズ,横浜Ｆ・マリノス,Home,5,3,2.493,11,6,1,311,11,15,5,5,26,4,29,17,2,5,2,1,32,11,119121,217,131,8.4,43.7,45.5,68.2,9.1,73.1,25.0,75.9,2.61,16,6,0,488,18,17,5,4,19,11,20,15,2,5,2,0,38,11,113721,244,132,12.1,56.3,18.8,79.3,27.8,78.9,63.6,40.0,3
2021-05-15,県立カシマサッカースタジアム,晴,22.3,全面良芝,11630,横浜Ｆ・マリノス,鹿島アントラーズ,Away,3,5,2.61,16,6,0,488,18,17,5,4,19,11,20,15,2,5,2,0,38,11,113721,244,132,12.1,56.3,18.8,79.3,27.8,78.9,63.6,40.0,2.493,11,6,1,311,11,15,5,5,26,4,29,17,2,5,2,1,32,11,119121,217,131,8.4,43.7,45.5,68.2,9.1,73.1,25.0,75.9,0
2021-05-22,日産スタジアム,曇,20.4,全面良芝,4941,横浜Ｆ・マリノス,柏レイソル,Home,1,1,0.674,11,3,0,777,20,13,3,3,26,10,15,21,3,2,3,0,58,11,123237,224,127,8.7,64.6,9.1,86.6,10.0,100.0,30.0,66.7,1.754,14,4,0,326,7,13,2,4,18,8,22,21,3,3,1,0,27,8,119329,169,120,11.7,35.4,7.1,72.7,42.9,88.9,50.0,59.1,1
2021-05-22,日産スタジアム,曇,20.4,全面良芝,4941,柏レイソル,横浜Ｆ・マリノス,Away,1,1,1.754,14,4,0,326,7,13,2,4,18,8,22,21,3,3,1,0,27,8,119329,169,120,11.7,35.4,7.1,72.7,42.9,88.9,50.0,59.1,0.674,11,3,0,777,20,13,3,3,26,10,15,21,3,2,3,0,58,11,123237,224,127,8.7,64.6,9.1,86.6,10.0,100.0,30.0,66.7,1
2021-05-26,昭和電工ドーム大分,屋内,17.4,全面良芝,3545,大分トリニータ,横浜Ｆ・マリノス,Home,0,1,0.146,3,1,0,322,3,7,1,1,25,5,15,35,3,3,1,0,10,2,129777,194,121,2.5,31.1,0.0,66.5,66.7,88.0,0.0,40.0,1.211,18,8,0,937,32,6,3,7,35,5,15,11,3,2,1,0,98,25,125820,197,131,13.7,68.9,5.6,86.2,12.5,100.0,80.0,66.7,0
2021-05-26,昭和電工ドーム大分,屋内,17.4,全面良芝,3545,横浜Ｆ・マリノス,大分トリニータ,Away,1,0,1.211,18,8,0,937,32,6,3,7,35,5,15,11,3,2,1,0,98,25,125820,197,131,13.7,68.9,5.6,86.2,12.5,100.0,80.0,66.7,0.146,3,1,0,322,3,7,1,1,25,5,15,35,3,3,1,0,10,2,129777,194,121,2.5,31.1,0.0,66.5,66.7,88.0,0.0,40.0,3
2021-05-30,日産スタジアム,晴,26.8,全面良芝,4945,横浜Ｆ・マリノス,清水エスパルス,Home,2,1,2.597,22,6,0,777,31,9,5,7,31,10,16,6,0,1,2,0,70,18,116004,181,123,17.9,65.7,9.1,87.0,32.3,83.9,40.0,56.3,1.559,7,2,0,265,8,10,1,2,18,6,22,36,1,5,0,0,19,6,113689,144,103,6.8,34.3,14.3,70.2,12.5,61.1,50.0,72.7,3
2021-05-30,日産スタジアム,晴,26.8,全面良芝,4945,清水エスパルス,横浜Ｆ・マリノス,Away,1,2,1.559,7,2,0,265,8,10,1,2,18,6,22,36,1,5,0,0,19,6,113689,144,103,6.8,34.3,14.3,70.2,12.5,61.1,50.0,72.7,2.597,22,6,0,777,31,9,5,7,31,10,16,6,0,1,2,0,70,18,116004,181,123,17.9,65.7,9.1,87.0,32.3,83.9,40.0,56.3,0
2021-06-23,ニッパツ三ツ沢球技場,曇,23.0,全面良芝,5786,横浜Ｆ・マリノス,サガン鳥栖,Home,2,0,2.105,23,9,0,735,21,16,3,6,28,10,21,12,0,3,1,0,57,23,126184,243,131,17.6,57.7,8.7,84.2,23.8,96.4,40.0,81.0,0.797,9,4,0,399,7,9,3,3,27,9,18,11,0,3,2,0,18,8,129987,209,128,7.0,42.3,0.0,73.9,28.6,63.0,77.8,55.6,3
2021-06-23,ニッパツ三ツ沢球技場,曇,23.0,全面良芝,5786,サガン鳥栖,横浜Ｆ・マリノス,Away,0,2,0.797,9,4,0,399,7,9,3,3,27,9,18,11,0,3,2,0,18,8,129987,209,128,7.0,42.3,0.0,73.9,28.6,63.0,77.8,55.6,2.105,23,9,0,735,21,16,3,6,28,10,21,12,0,3,1,0,57,23,126184,243,131,17.6,57.7,8.7,84.2,23.8,96.4,40.0,81.0,0
2021-06-27,鳴門・大塚スポーツパーク ポカリスエットスタジアム,晴,23.5,全面良芝,5488,徳島ヴォルティス,横浜Ｆ・マリノス,Home,0,1,0.277,3,1,0,425,3,8,2,3,21,5,18,20,1,2,0,0,18,1,114333,145,108,2.8,45.3,0.0,76.0,33.3,95.2,40.0,66.7,1.944,15,3,0,678,19,12,2,9,26,9,14,11,2,2,0,0,59,20,119438,202,125,12.0,54.7,0.0,84.1,15.8,92.3,55.6,78.6,0
2021-06-27,鳴門・大塚スポーツパーク ポカリスエットスタジアム,晴,23.5,全面良芝,5488,横浜Ｆ・マリノス,徳島ヴォルティス,Away,1,0,1.944,15,3,0,678,19,12,2,9,26,9,14,11,2,2,0,0,59,20,119438,202,125,12.0,54.7,0.0,84.1,15.8,92.3,55.6,78.6,0.277,3,1,0,425,3,8,2,3,21,5,18,20,1,2,0,0,18,1,114333,145,108,2.8,45.3,0.0,76.0,33.3,95.2,40.0,66.7,3
2021-07-03,三協フロンテア柏スタジアム,曇,22.2,全面良芝,3875,柏レイソル,横浜Ｆ・マリノス,Home,1,2,1.897,14,4,0,392,20,11,3,4,28,4,22,30,1,2,1,0,36,10,112471,171,119,11.8,47.0,7.1,71.9,35.0,92.9,50.0,63.6,1.153,10,5,0,545,12,13,2,5,20,12,16,24,0,4,0,1,36,8,111586,201,122,8.2,53.0,20.0,79.3,0.0,95.0,58.3,75.0,0
